tag,root,pos,images
apple,apple,NOUN,14386
applying_makeup,applying,VERB,1004
april_fools,fools,NOUN,1314
apron,apron,NOUN,134615
apron_lift,lift,NOUN,856
aqua_background,background,PROPN,5746
aqua_bikini,bikini,PROPN,2246
aqua_bow,bow,PROPN,3573
aqua_bowtie,bowtie,PROPN,1795
aqua_bra,bra,PROPN,763
aqua_dress,dress,NOUN,1857
aqua_eyes,eyes,NOUN,119625
aqua_footwear,footwear,NOUN,806
aqua_gloves,gloves,NOUN,839
aqua_hair,hair,PROPN,81726
aqua_headwear,headwear,PROPN,1164
aqua_jacket,jacket,NOUN,808
aqua_legwear,legwear,PROPN,0
aqua_nails,nails,NOUN,7103
aqua_neckerchief,neckerchief,NOUN,709
aqua_necktie,necktie,NOUN,5408
aqua_panties,panties,NOUN,1225
aqua_ribbon,ribbon,PROPN,1762
aqua_shirt,shirt,NOUN,1531
aqua_skirt,skirt,PROPN,2040
aqua_theme,theme,NOUN,1554
aquarium,aquarium,NOUN,931
ar-15,ar-15,X,919
arabian_clothes,clothes,NOUN,2163
arachne,arachne,SPACE,854
araki_hirohiko_(style),hirohiko,PROPN,878
aran_sweater,sweater,PROPN,3500
arch,arch,PROPN,2111
arched_back,arched,VERB,14451
archery,archery,NOUN,1127
architecture,architecture,NOUN,8332
areola_slip,slip,NOUN,27630
areolae,areolae,ADJ,43010
argyle,argyle,PROPN,13168
argyle_background,background,PROPN,4043
argyle_legwear,legwear,PROPN,5328
aria_company_uniform,uniform,NOUN,1054
arm_above_head,arm,NOUN,806
arm_around_neck,arm,VERB,2439
arm_around_shoulder,arm,VERB,3498
arm_around_waist,arm,VERB,2929
arm_at_side,arm,NOUN,23602
arm_behind_back,arm,VERB,23749
arm_behind_head,arm,NOUN,22398
arm_belt,belt,NOUN,3147
arm_between_breasts,arm,NOUN,1493
arm_blade,blade,NOUN,1184
arm_cannon,cannon,NOUN,8074
arm_cuffs,cuffs,VERB,799
arm_garter,garter,NOUN,7096
arm_grab,grab,VERB,12467
arm_guards,guards,NOUN,6855
arm_hair,hair,NOUN,2687
arm_held_back,held,VERB,2448
arm_hug,hug,NOUN,3587
arm_rest,rest,NOUN,3094
arm_ribbon,ribbon,NOUN,6941
arm_strap,strap,NOUN,9099
arm_support,support,NOUN,65986
arm_tattoo,tattoo,NOUN,9775
arm_under_breasts,arm,NOUN,7713
arm_up,arm,VERB,128665
arm_warmers,warmers,NOUN,14207
arm_wrap,wrap,NOUN,1479
armband,armband,NOUN,33727
armchair,armchair,PROPN,3857
armlet,armlet,PROPN,26661
armor,armor,NOUN,142598
armored_boots,boots,NOUN,11281
armored_dress,dress,NOUN,13134
armpit_crease,crease,NOUN,6956
armpit_cutout,cutout,NOUN,837
armpit_hair,hair,NOUN,3342
armpit_peek,peek,NOUN,4991
armpit_sex,sex,NOUN,668
armpits,armpits,VERB,166397
arms_around_neck,arms,NOUN,2883
arms_around_waist,arms,NOUN,845
arms_at_sides,arms,NOUN,14530
arms_behind_back,arms,NOUN,58563
arms_behind_head,arms,NOUN,33010
arms_between_legs,arms,NOUN,635
arms_under_breasts,arms,NOUN,2710
arms_up,arms,VERB,125155
army,army,NOUN,718
arrancar,arrancar,X,618
arrow_(projectile),arrow,NOUN,14881
arrow_(symbol),arrow,NOUN,14619
arrow_through_heart,arrow,NOUN,1079
art_brush,brush,NOUN,1156
art_nouveau,nouveau,PROPN,860
arthropod_girl,girl,NOUN,4529
artificial_vagina,vagina,NOUN,1717
artist_logo,logo,NOUN,9450
artist_name,name,NOUN,197586
artist_self-insert,insert,NOUN,7718
asa_no_ha_(pattern),asa,PROPN,1020
ascot,ascot,PROPN,89868
ashford_academy_uniform,uniform,NOUN,1069
asian,asian,PROPN,993
asphyxiation,asphyxiation,NOUN,2332
ass,ass,NOUN,418847
ass-to-ass,ass,NOUN,779
ass_cutout,cutout,NOUN,1437
ass_focus,focus,NOUN,13676
ass_grab,grab,VERB,19769
ass_shake,shake,VERB,921
ass_support,support,NOUN,1092
ass_visible_through_thighs,ass,NOUN,63081
assault_rifle,rifle,NOUN,11240
assertive_female,female,NOUN,5781
assisted_exposure,assisted,ADJ,4045
astronaut,astronaut,NOUN,812
asymmetrical_bangs,bangs,NOUN,14907
asymmetrical_clothes,clothes,NOUN,8928
